1,Legs,Barbell Back Squat,Back Extension,Bulgarian Split Squat,Hamstring Curl,Leg Extension
2,Push,Barbell Bench Press,Cable Fly,Incline Dumbbell Bench Press,Skull Crushers,Push Press
3,Pull,Standard Deadlift,Lat Pulldown,Dumbell Single Arm Row,Farmer Carry,EZ Bar Curl
4,Legs,Sumo Squat,Box Jump,Leg Press,Cable Pull-Through,Hip Adduction
5,Push,Barbell Overhead Press,Decline Barbell Bench Press,Dumbell Fly,Cable Tricep Pushdown,Front Raise
6,Pull,Sumo Deadlift,Barbell Bent Over Row,Pull Ups,Face Pulls,Hammer Curl
7,Legs,Barbell Back Squat,Back Extension,Bulgarian Split Squat,Hamstring Curl,Leg Extension
8,Push,Barbell Bench Press,Cable Fly,Incline Dumbbell Bench Press,Skull Crushers,Push Press
9,Pull,Standard Deadlift,Lat Pulldown,Dumbell Single Arm Row,Farmer Carry,EZ Bar Curl
10,Legs,Sumo Squat,Box Jump,Leg Press,Cable Pull-Through,Hip Adduction
11,Push,Barbell Overhead Press,Decline Barbell Bench Press,Dumbell Fly,Cable Tricep Pushdown,Front Raise
12,Pull,Sumo Deadlift,Barbell Bent Over Row,Pull Ups,Face Pulls,Hammer Curl
