Dumbell Single Arm Row,back,1,pull
Barbell Bent Over Row,back,1,pull
Lat Pulldown,back,2,pull
Face Pulls,back,1,pull
Pull Ups,back,4,pull
Inverted Row,back,2,pull
Farmer Carry,back,1,pull
Standing Dumbbell Curl,arms,1,pull
Hammer Curl,arms,1,pull
Incline Dumbbell Curl,arms,1,pull
Zottman Curl,biceps,2,pull
Decline Dumbbell Curl,biceps,1,pull
Chin-Up,biceps,2,pull
EZ Bar Curl,biceps,2,pull
Underhand Seated Row,biceps,2,pull
Curls With Cable Pull,biceps,2,pull
Calf Raise,calves,1,legs
Dumbbell Squeeze Press,chest,2,push
Incline Barbell Bench Press,chest,5,push
Incline Dumbbell Bench Press,chest,4,push
Close-Grip Barbell Bench Press,chest,5,push
Decline Push Up,chest,3,push
Cable Fly,chest,2,push
Decline Barbell Bench Press,chest,3,push
Chest Dips,chest,3,push
Push-Up,chest,1,push
Dumbell Fly,chest,3,push
Incline Dumbbell Fly,chest,4,push
Wide Push-Up,chest,2,push
Sumo Deadlift,hamstrings,5,legs
Standard Deadlift,compound,5,legs
Barbell Back Squat,quad,5,legs
Barbell Bench Press,chest,5,push
Goblet Squat,hamstrings,2,legs
Sumo Squat,hamstrings,4,legs
Cable Squat,hamstrings,3,legs
Barbell Hip Thrust,hamstrings,5,legs
Dumbbell Hip Thrust,hamstrings,4,legs
Single Leg Hip Thrust,hamstrings,3,legs
Walking Lunge,hamstrings,4,legs
Hip Adduction,hamstrings,2,legs
Hip Abduction,hamstrings,2,legs
Cable Kick Back,hamstrings,1,legs
Romanian Deadlift,hamstrings,4,legs
Single Leg RDL,hamstrings,3,legs
Good Morning,hamstrings,3,legs
Reverse Lunge,hamstrings,3,legs
Normal Lunge,hamstrings,3,legs
Cutesy Lunge,hamstrings,2,legs
Hamstring Curl,hamstrings,3,legs
Back Extension,hamstrings,4,legs
Cable Pull-Through,hamstrings,1,legs
Barbell Front Squat,quads,5,legs
Barbell Box Squat,quads,2,legs
BOSU Ball Squat,quads,4,legs
Weighted Jump Squat,quads,2,legs
Box Jump,quads,2,legs
Kettlebell Pistol Squat,quads,5,legs
Goblet Alternating Lunge,quads,3,legs
Dumbbell Reverse Lunge To Stepup,quads,4,legs
Bulgarian Split Squat,quads,5,legs
Weighted Lunge,quads,3,legs
Leg Extension,quads,3,legs
Leg Press,quads,4,legs
Alternating Lateral Box Jumps,quads,3,legs
High Pull,arms,2,push 
Strict Press,arms,3,push 
Push Press,arms,3,push 
Barbell Overhead Press,arms,4,push 
Seated Dumbbell Shoulder Press,arms,1,push 
Front Raise,arms,2,push 
Reverse Pec Deck Fly,arms,3,push 
Bent Over Dumbbell Lateral Raise,arms,3,push 
Dumbbell Lateral Raise,arms,3,push 
Reverse Cable Crossover,arms,2,push 
One-Arm Cable Lateral Raise,arms,3,push 
Standing Barbell Shrug,arms,1,push 
Cable Tricep Pushdown,arms,1,push
Tricep Dip,arms,5,push
Overhead Tricep Extension,arms,3,push
Skull Crushers,arms,2,push
Close Grip Bench Press,arms,2,push
Diamond Push Up,arms,3,push
Bench Dip,arms,2,push
Classic Push Ups,arms,1,push
One Arm Kettlebell Floor Press,arms,3,push
